                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.0303,                0.73179,                 1.2134,                0.79818,                0.91667,                0.81827,                0.55083,                 1.2553,                 0.9344,                 1.7088,             0.00056128,             0.00056128,             0.00056128
                     69,                0.97062,                0.71967,                 1.2068,                0.80033,                0.91667,                0.83317,                0.57812,                 1.2675,                0.94874,                 1.6511,             0.00054478,             0.00054478,             0.00054478
                     70,                0.96425,                0.78862,                 1.2112,                0.80279,                0.91667,                0.80943,                0.53195,                 1.3015,                0.96508,                 1.6631,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.0018,                0.73048,                 1.2603,                0.80312,                0.91667,                0.79223,                0.52534,                 1.3051,                0.95983,                 1.6618,             0.00051177,             0.00051177,             0.00051177
                     72,                0.92114,                0.66467,                 1.2415,                0.80426,                0.91667,                0.80598,                0.55849,                 1.3064,                0.84696,                 1.6262,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.0355,                0.71986,                 1.2167,                0.80695,                0.91667,                0.80433,                0.56286,                 1.3315,                0.86346,                 1.6612,             0.00047876,             0.00047876,             0.00047876
                     74,                 0.9589,                0.74807,                 1.1934,                0.80873,                0.91667,                0.81785,                 0.5843,                 1.3324,                0.93817,                  1.699,             0.00046226,             0.00046226,             0.00046226
                     75,                0.98049,                0.71677,                 1.2225,                0.80772,                0.91667,                0.88166,                0.59533,                 1.3425,                 1.0342,                 1.7265,             0.00044576,             0.00044576,             0.00044576
                     76,                0.91391,                 0.7255,                 1.1852,                0.80313,                0.91667,                0.86592,                0.55041,                  1.397,                0.99702,                 1.8506,             0.00042925,             0.00042925,             0.00042925
                     77,                0.86818,                0.65132,                 1.1322,                0.80009,                0.91667,                0.87948,                0.56697,                 1.3745,                 1.0354,                 1.8459,             0.00041275,             0.00041275,             0.00041275
                     78,                0.88505,                0.67463,                 1.1649,                 0.7561,                0.91447,                0.87954,                0.57611,                  1.356,                 1.0812,                 1.8227,             0.00039625,             0.00039625,             0.00039625
                     79,                0.85874,                0.62036,                  1.149,                0.72254,                 0.9107,                0.85527,                0.54574,                 1.3564,                 1.1603,                 1.7997,             0.00037974,             0.00037974,             0.00037974
                     80,                0.89123,                0.62093,                 1.1474,                0.71375,                0.90938,                0.86934,                 0.5795,                  1.291,                  1.277,                 1.7679,             0.00036324,             0.00036324,             0.00036324
                     81,                0.82529,                0.64906,                 1.1436,                 0.7136,                 0.9092,                  0.894,                0.59294,                   1.26,                 1.2884,                 1.7749,             0.00034674,             0.00034674,             0.00034674
                     82,                0.81205,                0.58175,                 1.1467,                0.71483,                0.90976,                0.84646,                0.56043,                 1.2529,                 1.2555,                 1.7816,             0.00033023,             0.00033023,             0.00033023
                     83,                0.73476,                0.57883,                 1.0619,                0.73231,                0.91284,                0.87167,                0.57141,                 1.2593,                  1.169,                 1.7886,             0.00031373,             0.00031373,             0.00031373
                     84,                0.72353,                  0.547,                 1.0735,                0.80833,                0.91667,                0.85131,                0.56309,                 1.2799,                 1.0132,                 1.8169,             0.00029723,             0.00029723,             0.00029723
                     85,                0.79306,                0.62603,                  1.124,                0.80892,                0.91667,                0.83917,                0.55893,                 1.2891,                0.99688,                 1.8304,             0.00028072,             0.00028072,             0.00028072
                     86,                0.84256,                0.65515,                 1.1188,                0.80854,                0.91667,                0.84345,                 0.5567,                 1.2849,                 1.0106,                 1.8393,             0.00026422,             0.00026422,             0.00026422
                     87,                0.79537,                0.55109,                 1.0886,                0.80831,                0.91667,                0.84917,                0.56581,                 1.3053,                0.97685,                 1.8611,             0.00024772,             0.00024772,             0.00024772
                     88,                0.81497,                0.60219,                 1.1161,                0.80838,                0.91667,                0.84345,                 0.5424,                 1.2969,                0.92281,                 1.8492,             0.00023121,             0.00023121,             0.00023121
                     89,                0.78725,                0.58601,                 1.1106,                0.80828,                0.91667,                0.84609,                0.55333,                 1.2828,                0.90108,                 1.8229,             0.00021471,             0.00021471,             0.00021471
                     90,                0.82966,                0.57029,                 1.1268,                0.80796,                0.91667,                0.85762,                0.56411,                 1.2814,                0.89589,                 1.8024,             0.00019821,             0.00019821,             0.00019821
                     91,                0.71071,                0.47544,                 1.0623,                0.80741,                0.91667,                0.85762,                0.57519,                 1.2749,                 0.8886,                 1.7797,              0.0001817,              0.0001817,              0.0001817
                     92,                0.67145,                0.46893,                 1.0359,                0.80624,                0.91667,                0.89929,                0.59722,                 1.2819,                 0.8621,                 1.7438,              0.0001652,              0.0001652,              0.0001652
                     93,                0.69488,                  0.477,                 1.0946,                0.80603,                0.91667,                0.90864,                0.62035,                 1.2705,                0.86187,                 1.7259,              0.0001487,              0.0001487,              0.0001487
                     94,                0.70772,                0.48164,                 1.0723,                0.80539,                0.91667,                0.90192,                0.64305,                  1.252,                0.87084,                 1.7093,             0.00013219,             0.00013219,             0.00013219
                     95,                0.65063,                 0.4646,                 1.0919,                0.80526,                0.91667,                0.89929,                0.64729,                 1.2335,                0.88532,                 1.6937,             0.00011569,             0.00011569,             0.00011569
                     96,                 0.6166,                0.44758,                 1.0356,                0.80329,                0.91667,                0.91583,                0.67652,                 1.2238,                0.91398,                 1.6978,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.62054,                0.42743,                 1.0044,                0.80321,                0.91667,                0.91276,                0.66867,                 1.2255,                 0.9344,                 1.7062,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.62866,                0.43249,                 1.0448,                0.80273,                0.91667,                0.91583,                0.68331,                 1.2315,                0.94294,                 1.7157,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.63195,                0.43836,                 1.0706,                0.80274,                0.91667,                0.91583,                0.67119,                 1.2313,                0.95458,                 1.7191,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.63559,                0.47368,                 1.0537,                0.80235,                0.91667,                0.87667,                0.64137,                 1.2403,                0.96057,                 1.7321,             3.3173e-05,             3.3173e-05,             3.3173e-05
